Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,References,,,
Namibia,1.4,2.2,3.3,4.8,6.8,9.1,11.4,13.5,15.1,16.3,17.1,17.4,17.4,17.2,16.8,16.3,15.9,15.5,15.3,15,14.7,14.4,14.1,13.8,13.6,13.3,http://aidsinfo.unaids.org/,,,
Nepal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,http://aidsinfo.unaids.org/,,,
Netherlands,0.094583,0.122014,0.14324,0.168224,0.186315,0.194059,0.201018,0.208264,0.221701,0.222713,0.235799,0.236077,0.248882,0.255754,0.269159,0.282938,0.291326,0.305867,0.313603,0.314756,0.329109,0.336917,0.351989,,,,http://www.unaids.org/en/resources/campaigns/globalreport2013/globalreport,,,
New Zealand,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,0.090741,0.153404,http://dnmeds.otago.ac.nz/departments/psm/research/aids/pdf/75%20AIDS-NZ%20May%202016.pdf,Estimated PLHIV (total) / Population (15-49),,
Nicaragua,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,http://aidsinfo.unaids.org/,,,
Niger,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.5,http://aidsinfo.unaids.org/,,,
Nigeria,1.4,1.6,1.9,2.2,2.5,2.9,3.2,3.5,3.7,3.8,3.9,4,4,4,3.9,3.8,3.8,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.1,http://aidsinfo.unaids.org/,,,
Pakistan,0.004732,0.005417,0.006254,0.007039,0.007588,0.008276,0.008905,0.009828,0.010849,0.011945,0.013256,0.01478,0.015884,0.018149,0.02162,0.024897,0.027983,0.032181,0.037398,0.045878,0.05391,0.06278,0.072265,0.082351,0.092032,0.102414,http://aidsinfo.unaids.org/,PLHIV 15+/ Population 15-49,,
Panama,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,http://aidsinfo.unaids.org/,,,
Papua New Guinea,<0.1,<0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,http://aidsinfo.unaids.org/,,,
